bank.account,duration.in.month,credit.history,purpose,credit.amount,savings,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreigner,creditability
yes,9,critical account/ other credits existing (other lender),education,1501,... < 1000,... >= 7 years,25 <= ... < 35,female : divorced/separated/married,none,4 <= ... < 7 years,car or other-not included in savings,34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,bad
no,6,critical account/ other credits existing (other lender),radio/television,1382,... < 1000,1 <= ... < 4 years,>= 35,female : divorced/separated/married,none,< 1 year,car or other-not included in savings,28,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
yes,12,existing credits paid back duly till now,furniture/equipment,951,1000 <= ... < 5000,... < 1 year,< 20,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,27,bank,rent,4,skilled employee / official,1,none,yes,bad
yes,24,existing credits paid back duly till now,car (used),2760,unknown/no savings,... >= 7 years,< 20,male : single,none,>= 7 years,unknown / no property,36,bank,for free,1,skilled employee / official,1,registered under the customers name,yes,good
yes,18,delay in paying off in the past,furniture/equipment,4297,... < 1000,... >= 7 years,< 20,female : divorced/separated/married,none,4 <= ... < 7 years,unknown / no property,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,bad
no,9,critical account/ other credits existing (other lender),education,936,5000 <= ... < 10000,... >= 7 years,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,52,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
yes,12,existing credits paid back duly till now,car (new),1168,... < 1000,1 <= ... < 4 years,< 20,male : married/widowed,none,4 <= ... < 7 years,real estate,27,none,own,1,unskilled - resident,1,none,yes,good
no,27,delay in paying off in the past,business,5117,... < 1000,4 <= ... < 7 years,20 <= ... < 25,male : single,none,>= 7 years,car or other-not included in savings,26,none,own,2,skilled employee / official,1,none,yes,good
yes,12,existing credits paid back duly till now,retraining,902,... < 1000,4 <= ... < 7 years,< 20,male : married/widowed,none,>= 7 years,building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes,bad
no,12,critical account/ other credits existing (other lender),car (new),1495,... < 1000,... >= 7 years,< 20,male : single,none,< 1 year,real estate,38,none,own,2,unskilled - resident,2,none,yes,good
yes,30,critical account/ other credits existing (other lender),car (used),10623,... < 1000,... >= 7 years,20 <= ... < 25,male : single,none,>= 7 years,unknown / no property,38,none,for free,3,management/ self-employed/ highly qualified employee/ officer,2,registered under the customers name,yes,good
no,12,critical account/ other credits existing (other lender),furniture/equipment,1935,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,real estate,43,none,own,3,skilled employee / official,1,registered under the customers name,yes,good
yes,12,critical account/ other credits existing (other lender),domestic appliances,1424,... < 1000,4 <= ... < 7 years,< 20,male : single,none,4 <= ... < 7 years,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,none,yes,good
yes,24,existing credits paid back duly till now,business,6568,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 years,car or other-not included in savings,21,stores,own,1,unskilled - resident,1,none,yes,good
no,12,existing credits paid back duly till now,car (used),1413,... >= 10000,4 <= ... < 7 years,20 <= ... < 25,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,55,none,own,1,skilled employee / official,1,none,no,good
no,9,critical account/ other credits existing (other lender),radio/television,3074,unknown/no savings,1 <= ... < 4 years,>= 35,male : single,none,1 <= ... < 4 years,real estate,33,none,own,2,skilled employee / official,2,none,yes,good
no,36,existing credits paid back duly till now,radio/television,3835,unknown/no savings,... >= 7 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,real estate,45,none,own,1,unskilled - resident,1,registered under the customers name,yes,good
yes,27,no credits taken/ all credits paid back duly,business,5293,... < 1000,unemployed,25 <= ... < 35,male : single,none,>= 7 years,building society savings agreement/ life insurance,50,stores,own,2,skilled employee / official,1,registered under the customers name,yes,bad
yes,30,delay in paying off in the past,business,1908,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,real estate,66,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,bad
no,36,critical account/ other credits existing (other lender),radio/television,3342,unknown/no savings,... >= 7 years,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,51,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,6,critical account/ other credits existing (other lender),retraining,932,unknown/no savings,4 <= ... < 7 years,>= 35,female : divorced/separated/married,none,4 <= ... < 7 years,building society savings agreement/ life insurance,39,none,own,2,unskilled - resident,1,none,yes,good
yes,18,no credits taken/ all credits paid back duly,business,3104,... < 1000,4 <= ... < 7 years,20 <= ... < 25,male : single,none,< 1 year,building society savings agreement/ life insurance,31,bank,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,36,existing credits paid back duly till now,radio/television,3913,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,real estate,23,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,24,existing credits paid back duly till now,furniture/equipment,3021,... < 1000,1 <= ... < 4 years,25 <= ... < 35,female : divorced/separated/married,none,1 <= ... < 4 years,real estate,24,none,rent,1,unskilled - resident,1,none,yes,good
no,10,existing credits paid back duly till now,car (new),1364,... < 1000,1 <= ... < 4 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,64,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,12,existing credits paid back duly till now,radio/television,625,... < 1000,... < 1 year,< 20,male : married/widowed,guarantor,< 1 year,real estate,26,bank,own,1,unskilled - resident,1,none,yes,good
yes,12,existing credits paid back duly till now,education,1200,unknown/no savings,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,23,bank,rent,1,skilled employee / official,1,registered under the customers name,yes,good
no,12,existing credits paid back duly till now,radio/television,707,... < 1000,1 <= ... < 4 years,< 20,male : single,none,1 <= ... < 4 years,real estate,30,bank,own,2,skilled employee / official,1,none,yes,good
no,24,delay in paying off in the past,business,2978,unknown/no savings,1 <= ... < 4 years,< 20,male : single,none,>= 7 years,real estate,32,none,own,2,skilled employee / official,2,registered under the customers name,yes,good
no,15,existing credits paid back duly till now,car (used),4657,... < 1000,1 <= ... < 4 years,20 <= ... < 25,male : single,none,1 <= ... < 4 years,car or other-not included in savings,30,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
no,36,no credits taken/ all credits paid back duly,repairs,2613,... < 1000,1 <= ... < 4 years,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,27,none,own,2,skilled employee / official,1,none,yes,good
yes,48,existing credits paid back duly till now,radio/television,10961,... >= 10000,4 <= ... < 7 years,>= 35,male : single,co-applicant,1 <= ... < 4 years,unknown / no property,27,bank,own,2,skilled employee / official,1,registered under the customers name,yes,bad
yes,12,existing credits paid back duly till now,furniture/equipment,7865,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,unknown / no property,53,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,bad
no,9,existing credits paid back duly till now,radio/television,1478,... < 1000,4 <= ... < 7 years,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,22,none,own,1,skilled employee / official,1,none,yes,bad
yes,24,existing credits paid back duly till now,furniture/equipment,3149,... < 1000,... < 1 year,< 20,male : single,none,< 1 year,unknown / no property,22,bank,for free,1,skilled employee / official,1,none,yes,good
yes,36,existing credits paid back duly till now,radio/television,4210,... < 1000,1 <= ... < 4 years,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,26,none,own,1,skilled employee / official,1,none,yes,bad
no,9,existing credits paid back duly till now,car (new),2507,5000 <= ... < 10000,... >= 7 years,25 <= ... < 35,male : single,none,>= 7 years,unknown / no property,51,none,for free,1,unskilled - resident,1,none,yes,good
no,12,existing credits paid back duly till now,radio/television,2141,1000 <= ... < 5000,4 <= ... < 7 years,20 <= ... < 25,male : single,none,< 1 year,unknown / no property,35,none,own,1,skilled employee / official,1,none,yes,good
yes,18,existing credits paid back duly till now,radio/television,866,... < 1000,1 <= ... < 4 years,< 20,male : married/widowed,guarantor,1 <= ... < 4 years,real estate,25,none,own,1,unskilled - resident,1,none,yes,good
no,4,critical account/ other credits existing (other lender),radio/television,1544,... < 1000,4 <= ... < 7 years,25 <= ... < 35,male : single,none,< 1 year,real estate,42,none,own,3,unskilled - resident,2,none,yes,good
yes,24,existing credits paid back duly till now,radio/television,1823,... < 1000,unemployed,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,30,stores,own,1,management/ self-employed/ highly qualified employee/ officer,2,none,yes,bad
yes,6,existing credits paid back duly till now,car (new),14555,unknown/no savings,unemployed,>= 35,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,23,none,own,1,unemployed/ unskilled - non-resident,1,registered under the customers name,yes,bad
yes,21,existing credits paid back duly till now,business,2767,1000 <= ... < 5000,... >= 7 years,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,61,bank,rent,2,unskilled - resident,1,none,yes,bad
no,12,critical account/ other credits existing (other lender),radio/television,1291,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,none,yes,good
yes,30,existing credits paid back duly till now,radio/television,2522,... < 1000,... >= 7 years,>= 35,male : single,guarantor,4 <= ... < 7 years,building society savings agreement/ life insurance,39,none,own,1,skilled employee / official,2,none,yes,good
yes,24,existing credits paid back duly till now,car (new),915,unknown/no savings,... >= 7 years,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,29,bank,own,1,skilled employee / official,1,none,yes,bad
no,6,existing credits paid back duly till now,radio/television,1595,... < 1000,4 <= ... < 7 years,20 <= ... < 25,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,51,none,own,1,skilled employee / official,2,none,yes,good
yes,48,no credits taken/ all credits paid back duly,car (used),4605,... < 1000,... >= 7 years,20 <= ... < 25,male : single,none,>= 7 years,unknown / no property,24,none,for free,2,skilled employee / official,2,none,yes,bad
no,12,critical account/ other credits existing (other lender),business,1185,... < 1000,1 <= ... < 4 years,20 <= ... < 25,female : divorced/separated/married,none,1 <= ... < 4 years,real estate,27,none,own,2,skilled employee / official,1,none,yes,good
no,12,all credits at this bank paid back duly,retraining,3447,5000 <= ... < 10000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,4 <= ... < 7 years,real estate,35,none,own,1,unskilled - resident,2,none,yes,good
no,24,existing credits paid back duly till now,business,1258,... < 1000,4 <= ... < 7 years,< 20,male : single,none,< 1 year,real estate,25,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
no,12,critical account/ other credits existing (other lender),radio/television,717,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,real estate,52,none,own,3,skilled employee / official,1,none,yes,good
no,6,no credits taken/ all credits paid back duly,car (new),1204,1000 <= ... < 5000,1 <= ... < 4 years,< 20,male : single,none,< 1 year,unknown / no property,35,bank,rent,1,skilled employee / official,1,none,no,good
yes,24,existing credits paid back duly till now,furniture/equipment,1925,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,real estate,26,none,own,1,skilled employee / official,1,none,yes,good
no,18,existing credits paid back duly till now,radio/television,433,... < 1000,unemployed,20 <= ... < 25,female : divorced/separated/married,co-applicant,>= 7 years,real estate,22,none,rent,1,skilled employee / official,1,none,yes,bad
yes,6,critical account/ other credits existing (other lender),car (new),666,... >= 10000,4 <= ... < 7 years,20 <= ... < 25,female : divorced/separated/married,none,>= 7 years,real estate,39,none,own,2,unskilled - resident,1,registered under the customers name,yes,good
yes,12,existing credits paid back duly till now,furniture/equipment,2251,... < 1000,1 <= ... < 4 years,>= 35,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,46,none,own,1,unskilled - resident,1,none,yes,good
yes,30,existing credits paid back duly till now,car (new),2150,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,guarantor,1 <= ... < 4 years,unknown / no property,24,bank,own,1,skilled employee / official,1,none,yes,bad
no,24,delay in paying off in the past,furniture/equipment,4151,1000 <= ... < 5000,1 <= ... < 4 years,25 <= ... < 35,male : single,none,4 <= ... < 7 years,building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,none,yes,good
yes,9,existing credits paid back duly till now,furniture/equipment,2030,unknown/no savings,4 <= ... < 7 years,25 <= ... < 35,male : single,none,< 1 year,car or other-not included in savings,24,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,60,delay in paying off in the past,radio/television,7418,unknown/no savings,1 <= ... < 4 years,>= 35,male : single,none,< 1 year,real estate,27,none,own,1,unskilled - resident,1,none,yes,good
no,24,critical account/ other credits existing (other lender),radio/television,2684,... < 1000,1 <= ... < 4 years,< 20,male : single,none,1 <= ... < 4 years,real estate,35,none,own,2,unskilled - resident,1,none,yes,good
yes,12,all credits at this bank paid back duly,radio/television,2149,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,< 1 year,unknown / no property,29,none,for free,1,skilled employee / official,1,none,yes,bad
no,15,existing credits paid back duly till now,car (used),3812,1000 <= ... < 5000,... < 1 year,>= 35,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,23,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
no,11,critical account/ other credits existing (other lender),radio/television,1154,1000 <= ... < 5000,unemployed,< 20,female : divorced/separated/married,none,>= 7 years,real estate,57,none,own,3,unskilled - resident,1,none,yes,good
yes,12,existing credits paid back duly till now,furniture/equipment,1657,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,real estate,27,none,own,1,skilled employee / official,1,none,yes,good
yes,24,existing credits paid back duly till now,radio/television,1603,... < 1000,... >= 7 years,< 20,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,55,none,own,1,skilled employee / official,1,none,yes,good
yes,18,critical account/ other credits existing (other lender),car (new),5302,... < 1000,... >= 7 years,25 <= ... < 35,male : single,none,>= 7 years,unknown / no property,36,none,for free,3,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
no,12,critical account/ other credits existing (other lender),education,2748,... < 1000,... >= 7 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,unknown / no property,57,bank,for free,3,unskilled - resident,1,none,yes,good
no,10,critical account/ other credits existing (other lender),car (new),1231,... < 1000,... >= 7 years,20 <= ... < 25,male : single,none,>= 7 years,real estate,32,none,own,2,unskilled - resident,2,none,no,good
yes,15,existing credits paid back duly till now,radio/television,802,... < 1000,... >= 7 years,< 20,male : single,none,4 <= ... < 7 years,car or other-not included in savings,37,none,own,1,skilled employee / official,2,none,yes,bad
no,36,critical account/ other credits existing (other lender),business,6304,unknown/no savings,... >= 7 years,< 20,male : single,none,>= 7 years,real estate,36,none,own,2,skilled employee / official,1,none,yes,good
no,24,existing credits paid back duly till now,radio/television,1533,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,4 <= ... < 7 years,car or other-not included in savings,38,stores,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,14,existing credits paid back duly till now,car (new),8978,... < 1000,... >= 7 years,>= 35,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,45,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,no,bad
no,24,existing credits paid back duly till now,radio/television,999,unknown/no savings,... >= 7 years,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,25,none,own,2,skilled employee / official,1,none,yes,good
no,18,existing credits paid back duly till now,car (new),2662,unknown/no savings,4 <= ... < 7 years,< 20,male : single,none,4 <= ... < 7 years,building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,none,no,good
no,12,critical account/ other credits existing (other lender),furniture/equipment,1402,5000 <= ... < 10000,4 <= ... < 7 years,20 <= ... < 25,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,37,none,rent,1,skilled employee / official,1,registered under the customers name,yes,good
yes,48,all credits at this bank paid back duly,car (new),12169,unknown/no savings,unemployed,< 20,male : single,co-applicant,>= 7 years,unknown / no property,36,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,48,existing credits paid back duly till now,radio/television,3060,... < 1000,4 <= ... < 7 years,< 20,male : single,none,>= 7 years,real estate,28,none,own,2,skilled employee / official,1,none,yes,bad
yes,30,existing credits paid back duly till now,repairs,11998,... < 1000,... < 1 year,>= 35,female : divorced/separated/married,none,< 1 year,unknown / no property,34,none,own,1,unskilled - resident,1,registered under the customers name,yes,bad
no,9,existing credits paid back duly till now,radio/television,2697,... < 1000,1 <= ... < 4 years,>= 35,male : single,none,1 <= ... < 4 years,real estate,32,none,own,1,skilled employee / official,2,none,yes,good
no,18,critical account/ other credits existing (other lender),radio/television,2404,... < 1000,1 <= ... < 4 years,25 <= ... < 35,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,26,none,own,2,skilled employee / official,1,none,yes,good
yes,12,existing credits paid back duly till now,furniture/equipment,1262,unknown/no savings,... >= 7 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,49,none,own,1,unskilled - resident,1,registered under the customers name,yes,good
no,6,existing credits paid back duly till now,furniture/equipment,4611,... < 1000,... < 1 year,>= 35,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,none,yes,bad
no,24,existing credits paid back duly till now,radio/television,1901,1000 <= ... < 5000,1 <= ... < 4 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,29,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
no,15,critical account/ other credits existing (other lender),car (used),3368,... >= 10000,... >= 7 years,20 <= ... < 25,male : single,none,>= 7 years,unknown / no property,23,none,rent,2,skilled employee / official,1,registered under the customers name,yes,good
no,12,existing credits paid back duly till now,furniture/equipment,1574,... < 1000,1 <= ... < 4 years,< 20,male : single,none,1 <= ... < 4 years,real estate,50,none,own,1,skilled employee / official,1,none,yes,good
yes,18,all credits at this bank paid back duly,radio/television,1445,unknown/no savings,4 <= ... < 7 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,49,bank,own,1,unskilled - resident,1,none,yes,good
no,15,critical account/ other credits existing (other lender),furniture/equipment,1520,unknown/no savings,... >= 7 years,< 20,male : single,none,>= 7 years,building society savings agreement/ life insurance,63,none,own,1,skilled employee / official,1,none,yes,good
yes,24,critical account/ other credits existing (other lender),car (new),3878,1000 <= ... < 5000,... < 1 year,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,37,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,47,existing credits paid back duly till now,car (new),10722,... < 1000,... < 1 year,>= 35,female : divorced/separated/married,none,< 1 year,real estate,35,none,own,1,unskilled - resident,1,registered under the customers name,yes,good
yes,48,existing credits paid back duly till now,car (used),4788,... < 1000,4 <= ... < 7 years,< 20,male : single,none,4 <= ... < 7 years,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,2,none,yes,good
yes,48,delay in paying off in the past,others,7582,1000 <= ... < 5000,unemployed,25 <= ... < 35,male : single,none,>= 7 years,unknown / no property,31,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,12,existing credits paid back duly till now,radio/television,1092,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,guarantor,>= 7 years,real estate,49,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
yes,24,delay in paying off in the past,radio/television,1024,... < 1000,... < 1 year,< 20,male : married/widowed,none,>= 7 years,real estate,48,stores,own,1,skilled employee / official,1,none,yes,bad
no,12,existing credits paid back duly till now,business,1076,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 years,real estate,26,none,own,1,skilled employee / official,1,registered under the customers name,no,good
yes,36,existing credits paid back duly till now,car (used),9398,... < 1000,... < 1 year,>= 35,male : married/widowed,none,>= 7 years,car or other-not included in savings,28,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,bad
yes,24,critical account/ other credits existing (other lender),car (used),6419,... < 1000,... >= 7 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,unknown / no property,44,none,for free,2,management/ self-employed/ highly qualified employee/ officer,2,registered under the customers name,yes,good
yes,42,critical account/ other credits existing (other lender),car (used),4796,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,unknown / no property,56,none,for free,1,skilled employee / official,1,none,yes,good
no,48,critical account/ other credits existing (other lender),business,7629,unknown/no savings,... >= 7 years,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,46,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2,none,yes,good
yes,48,existing credits paid back duly till now,furniture/equipment,9960,... < 1000,... < 1 year,>= 35,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,26,none,own,1,skilled employee / official,1,registered under the customers name,yes,bad
no,12,existing credits paid back duly till now,car (used),4675,unknown/no savings,... < 1 year,>= 35,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,20,none,rent,1,skilled employee / official,1,none,yes,good
no,10,existing credits paid back duly till now,car (new),1287,unknown/no savings,... >= 7 years,< 20,male : single,co-applicant,1 <= ... < 4 years,building society savings agreement/ life insurance,45,none,own,1,unskilled - resident,1,none,no,good
no,18,existing credits paid back duly till now,furniture/equipment,2515,... < 1000,1 <= ... < 4 years,20 <= ... < 25,male : single,none,>= 7 years,real estate,43,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,21,critical account/ other credits existing (other lender),furniture/equipment,2745,... >= 10000,4 <= ... < 7 years,20 <= ... < 25,male : single,none,1 <= ... < 4 years,car or other-not included in savings,32,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
no,6,existing credits paid back duly till now,car (new),672,... < 1000,unemployed,>= 35,female : divorced/separated/married,none,>= 7 years,real estate,54,none,own,1,unemployed/ unskilled - non-resident,1,registered under the customers name,yes,good
yes,36,no credits taken/ all credits paid back duly,radio/television,3804,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,< 1 year,car or other-not included in savings,42,none,own,1,skilled employee / official,1,registered under the customers name,yes,bad
yes,24,critical account/ other credits existing (other lender),car (new),1344,unknown/no savings,4 <= ... < 7 years,< 20,male : single,none,1 <= ... < 4 years,real estate,37,bank,own,2,unskilled - resident,2,none,yes,bad
yes,10,critical account/ other credits existing (other lender),car (new),1038,... < 1000,4 <= ... < 7 years,< 20,male : single,co-applicant,4 <= ... < 7 years,building society savings agreement/ life insurance,49,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
no,48,critical account/ other credits existing (other lender),car (new),10127,5000 <= ... < 10000,1 <= ... < 4 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,unknown / no property,44,bank,for free,1,skilled employee / official,1,none,yes,bad
no,6,existing credits paid back duly till now,furniture/equipment,1543,... >= 10000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,real estate,33,none,own,1,skilled employee / official,1,none,yes,good
no,30,existing credits paid back duly till now,car (used),4811,unknown/no savings,4 <= ... < 7 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,24,stores,rent,1,unskilled - resident,1,none,yes,good
yes,12,existing credits paid back duly till now,radio/television,727,1000 <= ... < 5000,... < 1 year,< 20,male : married/widowed,none,4 <= ... < 7 years,unknown / no property,33,none,own,1,unskilled - resident,1,registered under the customers name,yes,bad
yes,8,existing credits paid back duly till now,furniture/equipment,1237,... < 1000,1 <= ... < 4 years,20 <= ... < 25,female : divorced/separated/married,none,>= 7 years,real estate,24,none,own,1,skilled employee / official,1,none,yes,bad
yes,9,existing credits paid back duly till now,car (new),276,... < 1000,1 <= ... < 4 years,< 20,male : married/widowed,none,>= 7 years,real estate,22,none,rent,1,unskilled - resident,1,none,yes,good
yes,48,existing credits paid back duly till now,others,5381,unknown/no savings,unemployed,20 <= ... < 25,male : single,none,>= 7 years,unknown / no property,40,bank,for free,1,unemployed/ unskilled - non-resident,1,registered under the customers name,yes,good
no,24,existing credits paid back duly till now,furniture/equipment,5511,1000 <= ... < 5000,1 <= ... < 4 years,< 20,male : single,none,< 1 year,car or other-not included in savings,25,stores,own,1,skilled employee / official,1,none,yes,good
yes,24,existing credits paid back duly till now,furniture/equipment,3749,... < 1000,... < 1 year,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,26,none,own,1,skilled employee / official,1,none,yes,good
yes,12,existing credits paid back duly till now,car (new),685,... < 1000,4 <= ... < 7 years,25 <= ... < 35,male : married/widowed,none,4 <= ... < 7 years,car or other-not included in savings,25,bank,own,1,unskilled - resident,1,none,yes,bad
yes,4,existing credits paid back duly till now,car (new),1494,unknown/no savings,... < 1 year,>= 35,male : single,none,1 <= ... < 4 years,real estate,29,none,own,1,unskilled - resident,2,none,no,good
yes,36,all credits at this bank paid back duly,furniture/equipment,2746,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,31,bank,own,1,skilled employee / official,1,none,yes,bad
yes,12,existing credits paid back duly till now,furniture/equipment,708,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : single,guarantor,4 <= ... < 7 years,building society savings agreement/ life insurance,38,none,own,1,unskilled - resident,2,none,yes,good
yes,24,existing credits paid back duly till now,furniture/equipment,4351,unknown/no savings,1 <= ... < 4 years,>= 35,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,48,none,own,1,unskilled - resident,1,registered under the customers name,yes,good
no,12,critical account/ other credits existing (other lender),education,701,... < 1000,1 <= ... < 4 years,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,32,none,own,2,skilled employee / official,1,none,yes,good
yes,15,delay in paying off in the past,furniture/equipment,3643,... < 1000,... >= 7 years,>= 35,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,27,none,own,2,unskilled - resident,1,none,yes,good
yes,30,critical account/ other credits existing (other lender),car (new),4249,... < 1000,unemployed,< 20,male : married/widowed,none,1 <= ... < 4 years,car or other-not included in savings,28,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,bad
yes,24,existing credits paid back duly till now,radio/television,1938,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,4 <= ... < 7 years,building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,none,yes,bad
yes,24,existing credits paid back duly till now,car (used),2910,... < 1000,4 <= ... < 7 years,25 <= ... < 35,male : single,none,< 1 year,unknown / no property,34,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,18,existing credits paid back duly till now,furniture/equipment,2659,... >= 10000,1 <= ... < 4 years,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,28,none,own,1,skilled employee / official,1,none,yes,good
no,18,critical account/ other credits existing (other lender),car (new),1028,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,4 <= ... < 7 years,real estate,36,none,own,2,skilled employee / official,1,none,yes,good
yes,8,critical account/ other credits existing (other lender),car (new),3398,... < 1000,4 <= ... < 7 years,>= 35,male : single,none,>= 7 years,real estate,39,none,own,2,unskilled - resident,1,none,no,good
no,12,critical account/ other credits existing (other lender),furniture/equipment,5801,unknown/no savings,... >= 7 years,25 <= ... < 35,male : single,none,>= 7 years,building society savings agreement/ life insurance,49,none,rent,1,skilled employee / official,1,registered under the customers name,yes,good
